design,n_flagged,median_income_flagged,income_multiple_of_population_median,pct_flagged_in_top_income_decile,pct_flagged_below_median_income,spearman_score_vs_income
segmented,6442,139872.0,2.408,46.88,17.665,0.25
population-wide,6438,135241.5,2.328,46.07,23.035,0.14
