model,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,seconds
Random Forest,0.9203,0.0091,0.9997,0.0,0.9698,0.0051,538.8
Hist. Gradient Boosting,0.856,0.0279,0.998,0.001,0.9739,0.0044,51.6
