,S0: Wage-dominant (mid income),S1: Pension/retirement (low income),S2: Business-dominant (mid income),S3: Investment-income (low income),S4: Other-income (mid income),S5: Rental-property (low income),S6: Trust/partnership (mid income),S7: No/minimal reported income,overall
share_wage,0.2535,0.0442,0.0396,0.0529,0.0209,0.0321,0.0459,0.0184,0.0634
share_pension,0.037,0.0819,0.0068,0.0102,0.0053,0.0077,0.0099,0.0051,0.0205
share_business,0.038,0.0085,0.0809,0.0093,0.0049,0.007,0.009,0.0043,0.0202
share_investment,0.0336,0.0092,0.0072,0.0767,0.0059,0.0085,0.0109,0.0046,0.0196
share_trust,0.0269,0.0067,0.0054,0.0077,0.005,0.0076,0.063,0.0037,0.0157
share_property,0.0224,0.0053,0.0045,0.0065,0.0038,0.0509,0.0053,0.0032,0.0127
share_other,0.0122,0.003,0.0025,0.0034,0.0295,0.0031,0.0035,0.0018,0.0074
log_gross_activity,0.0067,0.0022,0.0014,0.0054,0.0015,0.0019,0.0025,0.018,0.005
log_super_balance,0.0081,0.005,0.0014,0.0011,0.0003,0.0006,0.0005,0.0012,0.0023
